run,language,agent,prompt,stack,model
0,python,hermes-local,none,m80,mlxlocal/mlx-community--Qwen3-Coder-Next-4bit
1,go,hermes-local,none,m80,mlxlocal/mlx-community--Qwen3-Coder-Next-4bit
