run,language,agent,prompt,stack,model
0,python,hermes-0205,neutral,q6,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-6bit
1,go,hermes-0205,neutral,q6,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-6bit
