run,language,agent,prompt,stack,model
0,python,hermes-0205,neutral,q4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit
1,python,hermes-0205,neutral,q8,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-8bit
2,go,hermes-0205,neutral,q4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit
3,go,hermes-0205,neutral,q8,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-8bit
