run,language,agent,prompt,stack,model
0,python,hermes-local,neutral,m35,mlxlocal/Qwen3.6-35B-A3B
1,python,hermes-local,neutral,m80,mlxlocal/mlx-community--Qwen3-Coder-Next-4bit
