run,language,agent,prompt,stack,model
0,rust,hermes-0205,neutral,q4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit
1,rust,hermes-0205,neutral,dwq4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit-DWQ
2,typescript,hermes-0205,neutral,q4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit
3,typescript,hermes-0205,neutral,dwq4,mlxlocal/mlx-community--Qwen3-Coder-30B-A3B-Instruct-4bit-DWQ
